kind,index,x,y,z,is_boundary,cache_steps,c_exact,w
coarse,152,0.7131446004,0.4910955429,-0.4518968761,0,8,0.2674003888,
coarse,153,0.7112237215,-0.4777399898,-0.5477358699,0,8,0.2776036842,
coarse,154,0.8115096688,0.6058397889,0.05347464979,0,8,0.2915060928,
coarse,155,0.6129553318,0.7337386012,-0.2441448718,0,8,-0.1626580961,
coarse,156,-0.9581757188,-0.04694179818,-0.1746491939,0,8,0.9158971757,
coarse,157,0.2550648153,0.170498848,0.9446666837,0,8,0.03598820284,
coarse,158,-0.05117689818,0.1482329965,0.543210268,0,8,-0.01935394633,
coarse,159,0.8297238946,-0.3117451668,-0.2427375913,0,8,0.5912566923,
coarse,160,-0.5156282187,-0.1224749163,-0.8198624849,0,8,0.2508723548,
coarse,161,0.8283627629,0.5023986101,-0.1192636564,0,8,0.4337805036,
coarse,162,0.7810438275,-0.2029506713,-0.4744619727,0,8,0.5688404855,
coarse,163,0.6344079971,0.4351090193,-0.5356282592,0,8,0.2131536482,
coarse,164,0.8586329222,0.4292329252,-0.2558017075,0,8,0.553009591,
coarse,165,-0.07536906749,0.859574616,-0.2510620952,0,8,-0.7331880241,
coarse,166,-0.6898167133,0.6474473476,-0.2036223114,0,8,0.05665903003,
coarse,167,-0.5342420936,0.1871329993,0.5209602118,0,8,0.2503958551,
coarse,168,-0.3336892128,-0.8771778941,-0.2221616209,0,8,-0.6580925672,
coarse,169,0.3298994005,0.8606585264,-0.3707372248,0,8,-0.6318994847,
coarse,170,-0.2024708837,-0.9114492536,0.3047508299,0,8,-0.7897452831,
coarse,171,-0.4698086977,-0.7625359893,-0.3987561166,0,8,-0.3607409225,
coarse,172,0.6223888993,-0.6069620252,0.4342398942,0,8,0.01896504201,
coarse,173,0.3252758086,0.0550153628,0.8756508827,0,8,0.1027776615,
coarse,174,0.05198162049,0.407110095,0.9043277502,0,8,-0.1630365406,
coarse,175,-0.185974434,0.9141489863,0.168330729,0,8,-0.8010818791,
coarse,176,-0.2691752315,-0.9295380712,-0.09832227975,0,8,-0.7915857205,
coarse,177,-0.2203734964,0.6828727126,-0.6680663824,0,8,-0.4177506637,
coarse,178,0.3777412176,0.8624164462,0.1684423536,0,8,-0.6010736992,
coarse,179,-0.9235904217,-0.1464630365,0.3053960502,0,8,0.8315678459,
coarse,180,-0.649771452,0.1983160824,-0.6890131235,0,8,0.3828736712,
coarse,181,0.890473485,0.1121034399,0.3548337817,0,8,0.7803758462,
coarse,182,0.5653639436,-0.1028120816,-0.8114147186,0,8,0.3090660646,
coarse,183,-0.9060866237,0.1848178208,0.05514778942,0,8,0.7868353427,
coarse,184,0.7199931741,0.5805152059,0.3031134307,0,8,0.1813922665,
coarse,185,0.6847063899,0.7322717309,0.03891900182,0,8,-0.0673990475,
coarse,186,-0.4731847644,-0.231528163,0.8112201691,0,8,0.170298531,
coarse,187,0.9042049646,0.2417361885,-0.3281797171,0,8,0.7591502332,
coarse,188,-0.5156940222,-0.237373054,-0.4811356366,0,8,0.2095943577,
coarse,189,0.5987163782,-0.006637334824,-0.7471854091,0,8,0.3584172473,
coarse,190,0.914169848,-0.4676369131,-0.02616175637,1,8,0.6170222285,
coarse,191,0.2294010818,-0.8488633037,0.3884243667,0,8,-0.667944052,
coarse,192,0.7045352459,-0.05291478336,0.6283169985,0,8,0.4935699384,
coarse,193,-0.8824877143,0.2787573934,0.05914210901,0,8,0.7010788815,
coarse,194,0.2673141956,0.5623660684,0.7267382145,0,8,-0.2447987157,
coarse,195,0.6352558136,-0.710062921,-0.04572469741,0,8,-0.1006394031,
coarse,196,0.3400515616,0.3775143921,0.03006254137,0,8,-0.02688205173,
coarse,197,0.6746804714,0.712064743,-0.04018363729,0,8,-0.05184245977,
coarse,198,0.2002903819,0.8419715166,-0.3531480432,0,8,-0.6687997977,
coarse,199,-0.1185647845,-0.8203854561,-0.5579565167,0,8,-0.6589746884,
